date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd
2015-09-22,0.80588,59202092.9986396924,2.15548222,73462665.65573,0.3738745754998619
2015-09-23,0.91,66875668.8310893,2.39300012,73489745.96823,0.380275785360178
2015-09-24,0.8,58812905.399584,2.13476982,73516131.74948,0.3747476624903757
2015-09-25,0.68233,50180687.4321320634,1.84051674,73543135.18698,0.37072740778222973
2015-09-26,0.77032,56671707.1291594336,2.04735816,73569045.49948,0.3762507288905426
2015-09-27,0.700769905318527,51572500.07084410480762177221,1.87468697,73594056.59323,0.373806356225182
2015-09-28,0.604208065458796,44481055.09376091219215317608,1.63593024,73618770.81198,0.36933608211728886
2015-09-29,0.68163,50197370.4505105524,1.81560795,73643135.49948,0.3754279661531555
2015-09-30,0.713644313851549,52572915.59156994409971419452,1.88747036,73668232.99948,0.3780956400563287
2015-10-01,0.654722555230859,48250207.57113145433988929707,1.7449154,73695655.03073,0.3752173631058899
2015-10-02,0.66467,49001179.3760690591,1.76594782,73722568.15573,0.3763814493680793
2015-10-03,0.6796,50119835.287134108,1.80112465,73749021.90573,0.37731980404576665
2015-10-04,0.60954,44968509.9868592892,1.7681262,73774502.06198,0.3447378360209809
2015-10-05,0.60777,44853814.3267283346,1.76307409,73800638.93698,0.34472175811964895
2015-10-06,0.65114,48070850.3447314072,1.87289931,73825675.49948,0.34766417848698977
2015-10-07,0.6,44311085.455938,1.73984036,73851809.09323,0.3448592260499118
2015-10-08,0.633798841028638,46824163.15380946087363504574,1.82176106,73878587.53073,0.34790448371348875
2015-10-09,0.635190847457627,46943169.12292178944867334646,1.82134949,73904038.93698,0.34874737163026687
2015-10-10,0.635190847457627,46959366.29103481910666490896,1.81920274,73929538.62448,0.34915891092909584
2015-10-11,0.59931,44322597.7219355463,1.72291151,73956045.65573,0.34784723215413427
2015-10-12,0.63,46609195.1256099,1.79649186,73982849.40573,0.35068347039434955
2015-10-13,0.601639343658679,44527037.64569004195468229942,1.71740921,74009517.68698,0.3503179907010508
