date,dominance_btc,ratio_eth_btc
2016-12-11,85.8143,0.01068104
2016-12-12,85.907,0.01094553
2016-12-13,85.9893,0.01079693
2016-12-14,86.1452,0.01060525
2016-12-15,85.8804,0.01006542
2016-12-16,85.8021,0.01004501
2016-12-17,86.203,0.00987434
2016-12-18,85.976,0.01000134
2016-12-19,86.214,0.0096294
2016-12-20,86.3535,0.00953464
2016-12-21,86.7281,0.00952333
2016-12-22,87.2763,0.00883387
2016-12-23,88.2192,0.00782795
2016-12-24,87.6402,0.00812727
2016-12-25,87.7703,0.00803719
2016-12-26,87.8455,0.0080163
2016-12-27,88.1696,0.00772583
2016-12-28,88.2973,0.00777951
2016-12-29,87.8406,0.00852893
2016-12-30,87.7938,0.00855086
2016-12-31,87.8512,0.00838656
2017-01-01,88.2246,0.00820034
2017-01-02,88.1934,0.00823777
2017-01-03,87.684,0.00939123
2017-01-04,87.8111,0.00975643
2017-01-05,87.2113,0.0102197
2017-01-06,86.263,0.01134593
2017-01-07,86.4926,0.01098534
2017-01-08,86.4053,0.01143975
2017-01-09,86.2585,0.01147175
2017-01-10,85.852,0.01172463
2017-01-11,85.0656,0.01265032
2017-01-12,85.2495,0.01210773
2017-01-13,85.4226,0.01186944
2017-01-14,85.2094,0.01192479
2017-01-15,85.3032,0.01197188
2017-01-16,85.5744,0.01157101
2017-01-17,86.0949,0.01130611
2017-01-18,85.8366,0.01162172
2017-01-19,86.0392,0.01156488
2017-01-20,85.9534,0.01189805
2017-01-21,86.1271,0.0118578
2017-01-22,86.2034,0.01160377
2017-01-23,86.1516,0.01174913
2017-01-24,86.1012,0.01187955
2017-01-25,86.2375,0.01173771
2017-01-26,86.3863,0.01159184
2017-01-27,86.421,0.01144448
2017-01-28,86.4248,0.01144794
2017-01-29,86.3417,0.01146202
2017-01-30,86.1531,0.01149537
2017-01-31,86.7494,0.01105431
2017-02-01,86.8269,0.01085818
2017-02-02,86.9787,0.01074518
2017-02-03,87.0064,0.01079197
2017-02-04,87.0268,0.01102354
2017-02-05,86.9933,0.01108297
2017-02-06,87.0501,0.01107834
2017-02-07,87.3064,0.01090227
2017-02-08,87.37,0.01083347
2017-02-09,86.9649,0.01118278
2017-02-10,86.9074,0.0114116
2017-02-11,86.9463,0.01135437
2017-02-12,86.9565,0.01139201
2017-02-13,86.9586,0.0113894
2017-02-14,86.2757,0.0129361
2017-02-15,86.2316,0.0128358
2017-02-16,86.6694,0.01242804
2017-02-17,86.9873,0.0120663
2017-02-18,87.1593,0.01216051
2017-02-19,86.9389,0.01214732
2017-02-20,87.3935,0.01166757
2017-02-21,87.7907,0.01135021
2017-02-22,87.7491,0.01127276
2017-02-23,87.9838,0.01114784
2017-02-24,88.1265,0.01111573
2017-02-25,87.668,0.01184906
2017-02-26,87.5256,0.0124049
2017-02-27,87.3795,0.01311126
2017-02-28,87.1795,0.01317179
2017-03-01,86.7902,0.01405474
2017-03-02,86.0555,0.01520634
2017-03-03,85.8524,0.01524373
2017-03-04,86.1664,0.01472427
2017-03-05,85.9841,0.01512302
2017-03-06,85.7642,0.01538777
2017-03-07,85.3621,0.01526081
2017-03-08,85.7065,0.01447552
2017-03-09,85.479,0.01491307
2017-03-10,84.1467,0.01746055
2017-03-11,83.4929,0.01822383
2017-03-12,83.2197,0.01885094
2017-03-13,81.4853,0.02303122
2017-03-14,81.3179,0.02292451
2017-03-15,79.5162,0.02754788
2017-03-16,75.5894,0.03801002
2017-03-17,74.0932,0.04116087
2017-03-18,75.087,0.03349543
2017-03-19,72.6156,0.04248426
2017-03-20,73.5259,0.04030526
2017-03-21,74.752,0.03813476
2017-03-22,73.597,0.0397175
2017-03-23,71.8531,0.04195887
2017-03-24,67.1234,0.0566679
2017-03-25,69.3237,0.05178634
2017-03-26,68.853,0.05231863
2017-03-27,71.3858,0.04683082
2017-03-28,70.7135,0.04804665
2017-03-29,69.7285,0.05093346
2017-03-30,68.351,0.04994085
2017-03-31,67.9758,0.04625118
2017-04-01,67.3499,0.04652084
2017-04-02,59.1438,0.04413522
2017-04-03,67.378,0.03854771
2017-04-04,65.8218,0.03873599
2017-04-05,65.5303,0.03992383
2017-04-06,68.2418,0.03618864
2017-04-07,67.5045,0.03560482
2017-04-08,66.847,0.0376765
2017-04-09,68.0876,0.03618971
2017-04-10,68.0262,0.03630318
2017-04-11,68.6172,0.03570446
2017-04-12,67.1663,0.03811882
2017-04-13,65.692,0.04256786
2017-04-14,66.3768,0.04011619
2017-04-15,65.7818,0.0417872
2017-04-16,66.0816,0.04104753
2017-04-17,66.3518,0.04014518
2017-04-18,66.3415,0.04150232
2017-04-19,67.5089,0.03973913
2017-04-20,67.7414,0.03992881
2017-04-21,67.0736,0.03891826
2017-04-22,67.137,0.03909183
2017-04-23,66.997,0.03909659
2017-04-24,66.8801,0.03985339
2017-04-25,66.8995,0.03929706
2017-04-26,66.2825,0.04127067
2017-04-27,64.7012,0.04709447
2017-04-28,61.0611,0.05436981
2017-04-29,59.6095,0.05190952
2017-04-30,59.0457,0.05825367
2017-05-01,59.981,0.05453643
2017-05-02,60.7352,0.05305151
2017-05-03,59.3952,0.05341225
2017-05-04,55.1753,0.06198489
2017-05-05,53.2886,0.05965416
2017-05-06,51.0739,0.06071385
2017-05-07,46.9166,0.05021107
2017-05-08,43.462,0.05305171
2017-05-09,47.9714,0.05014855
2017-05-10,45.8589,0.04939659
2017-05-11,46.8049,0.04807433
2017-05-12,43.39,0.05014782
2017-05-13,43.8594,0.0496018
2017-05-14,43.6048,0.04986087
2017-05-15,39.9933,0.05230716
2017-05-16,36.2339,0.0502316
2017-05-17,34.7884,0.04800677
2017-05-18,36.3251,0.05059288
2017-05-19,37.5867,0.0633318
2017-05-20,37.0982,0.06084649
2017-05-21,36.4355,0.07223261
2017-05-22,38.2345,0.07390045
2017-05-23,38.1365,0.07490244
2017-05-24,40.4137,0.07945097
2017-05-25,42.7703,0.07789756
2017-05-26,41.8851,0.07221278
2017-05-27,43.4893,0.07617571
2017-05-28,43.0153,0.0778257
2017-05-29,42.6619,0.08486007
2017-05-30,41.8098,0.10523575
2017-05-31,40.8084,0.09963443
2017-06-01,38.0612,0.09208193
2017-06-02,40.3587,0.08932199
2017-06-03,41.5594,0.08797914
2017-06-04,39.9987,0.09721556
2017-06-05,41.2953,0.09237503
2017-06-06,42.4008,0.09208386
2017-06-07,41.4753,0.09494077
2017-06-08,41.7546,0.0921916
2017-06-09,41.4561,0.09926619
2017-06-10,41.0988,0.11828299
2017-06-11,40.8619,0.11566984
2017-06-12,38.052,0.14601518
2017-06-13,37.8846,0.14304833
2017-06-14,37.2618,0.13971815
2017-06-15,37.6182,0.1419649
2017-06-16,37.5561,0.14239846
2017-06-17,37.8827,0.13873773
2017-06-18,37.0983,0.1397546
2017-06-19,36.9357,0.13811999
2017-06-20,37.4964,0.12779362
2017-06-21,39.1666,0.12135133
2017-06-22,39.1503,0.11916188
2017-06-23,38.4035,0.12137277
2017-06-24,38.7508,0.11894865
2017-06-25,40.2638,0.11059741
2017-06-26,40.9758,0.10510925
2017-06-27,40.4874,0.1110844
2017-06-28,38.9104,0.1239961
2017-06-29,40.1937,0.11572757
2017-06-30,40.5003,0.11287378
2017-07-01,41.3185,0.10828346
2017-07-02,40.5087,0.11375458
2017-07-03,41.0801,0.10830313
2017-07-04,41.7114,0.10362742
2017-07-05,41.7993,0.10209033
2017-07-06,41.7783,0.10243411
2017-07-07,43.1868,0.09622696
2017-07-08,43.3389,0.09563212
2017-07-09,43.5241,0.09494984
2017-07-10,46.1567,0.08781172
2017-07-11,47.2231,0.08317294
2017-07-12,44.8856,0.09279397
2017-07-13,45.6517,0.08783476
2017-07-14,45.4367,0.08905752
2017-07-15,45.1096,0.08573169
2017-07-16,46.9969,0.0811833
2017-07-17,46.322,0.08539861
