date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd
2013-05-08,3.23046587077861,56389169.1051855817932688444038,2.00896584,17455429.45222158,1.6080242911340943
2013-05-09,3.34734563891292,58553374.8081677695639901648136,2.05774927,17492479.45222158,1.6267023819247521
2013-05-10,3.34734563891292,58677226.5968075476039901648136,2.04741718,17529479.45222158,1.6349113759575467
2013-05-11,3.34734563891292,58781998.5153055219999901648136,2.02955776,17560779.45222158,1.649298041615194
2013-05-12,3.29198296389714,57911015.2656082285937076082812,1.99431156,17591529.45222158,1.6506863972132517
2013-05-13,3.29198296389714,58005988.9741166610827076082812,1.9853487,17620379.45222158,1.65813842369209
2013-05-14,3.29198296389714,58103267.0706998215697076082812,1.97237719,17649929.45222158,1.6690433151364623
2013-05-15,2.75635784833431,48726423.9521463682321320364098,1.66316948,17677829.45222158,1.6572922251641544
2013-05-16,2.05510530771479,36388371.6374072792270785231682,1.24852778,17706329.45222158,1.6460228924299867
2013-05-17,3.25704475277615,57757270.528183222689489939317,1.97011805,17733029.45222158,1.653223142022454
2013-05-18,2.77249776475745,49241097.519637307352382355771,1.67543769,17760554.45222158,1.6547901371118432
2013-05-19,3.06129391466978,54453391.3955304753214730898524,1.8467303,17787704.45222158,1.657683265753413
2013-05-20,3.06129391466978,54537270.8487924272934730898524,1.84239522,17815104.45222158,1.6615837261398128
2013-05-21,3.06129391466978,54619619.6550970443754730898524,1.84932947,17842004.45222158,1.655353448009337
2013-05-22,3.06129391466978,54705029.7553163312374730898524,1.84783477,17869904.45222158,1.656692451278953
2013-05-23,3.02138176504968,54085315.2207506600006750680944,1.82140317,17900854.45222158,1.658820965514011
2013-05-24,2.8646582704393,51373791.316584461785183540094,1.72749637,17933654.37222158,1.658271658445974
2013-05-25,2.8646582704393,51463598.353362733840183540094,1.72650663,17965004.37222158,1.659222281955152
2013-05-26,3.15,56679538.772497977,1.89370035,17993504.37222158,1.6634099476192203
2013-05-27,3.15,56767738.772497977,1.88942389,18021504.37222158,1.6671748550824133
2013-05-28,3.05,55054495.835275819,1.82501748,18050654.37222158,1.6712168696597907
2013-05-29,3.069,55487840.31834802902,1.83073533,18080104.37222158,1.6763755796420883
2013-05-30,2.98478415116612,54056841.8550770434664920288696,1.77901553,18110804.37222158,1.6777729597257198
2013-05-31,2.95034305990649,53521596.2807052487183883600542,1.75348933,18140804.37222158,1.6825554677920338
2013-06-01,2.82303779147072,51292350.5837365588478219221376,1.6998967,18169204.37222158,1.660711378209464
2013-06-02,2.65381523617767,48292947.0541732036573054881186,1.59721574,18197554.37222158,1.6615258475837895
2013-06-03,2.81553640295149,51314852.5757816964040802711542,1.69005617,18225604.37222158,1.665942501160473
2013-06-04,2.83,51654728.8733870714,1.69630855,18252554.37222158,1.668328559683319
