date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd,sma_200d,mayer_multiple,ath_usd,drawdown_pct,halving_number,days_since_halving
2015-09-30,0.00192578360813816,192578360.8138159422264917558552,1,99999999999.99997,0.0019257836081381602,,,0.00192578360813816,0.0,1,1036
2015-10-01,0.00215206816813831,215329958.016780954450623779587625,1,100057219936.0471375,0.0021520681681383097,,,0.00215206816813831,0.0,1,1037
2015-10-02,0.00208897928928483,209017460.189815661879384116800525,0.99998273,100057219936.0452175,0.002089015366580211,,,0.00215206816813831,-2.931546490372399,1,1038
2015-10-03,0.00205693400244302,205811097.87637102286130218725685,0.98464283,100057219936.0452175,0.0020890153665598927,,,0.00215206816813831,-4.420592577120262,1,1039
2015-10-04,0.00203349869238165,203466225.903291111427697167258875,0.97342448,100057219936.0452175,0.002089015361912462,,,0.00215206816813831,-5.509559479206967,1,1040
2015-10-05,0.00203669684587697,203786224.250961576426902361890975,0.97495541,100057219936.0452175,0.0020890153795617896,,,0.00215206816813831,-5.3609511059839825,1,1041
2015-10-06,0.00211663857388816,211784971.3126447208910725478748,1.01322307,100057219936.0452175,0.002089015377322745,,,0.00215206816813831,-1.646304460736439,1,1042
2015-10-07,0.00204567722347267,204684775.867163264285001495455725,0.97925427,100057219936.0452175,0.0020890153723533626,,,0.00215206816813831,-4.943660532727254,1,1043
2015-10-08,0.00203172773157218,203289028.48807985496768284504915,0.97257673,100057219936.0452175,0.0020890153639314193,,,0.00215206816813831,-5.591850590412895,1,1044
2015-10-09,0.00213368290109074,213490379.30821433280641227423995,1.0213821,100057219936.0448175,0.002089015365641066,,,0.00215206816813831,-0.8543069090360136,1,1045
2015-10-10,0.00211907703773799,212028957.226372409107707462366825,1.01439035,100057219936.0448175,0.0020890153753315875,,,0.00215206816813831,-1.5329965327659656,1,1046
2015-10-11,0.002129886377481,213110509.7104021908439387547175,1.01956472,100057219936.0448175,0.0020890153765628534,,,0.00215206816813831,-1.0307197042228848,1,1047
2015-10-12,0.0020424707555572,204363945.601726393061426384811,0.97771935,100057219936.0448175,0.0020890153759943486,,,0.00215206816813831,-5.092655251525777,1,1048
2015-10-13,0.00211666035336374,211787150.50642207401290751941745,1.0132335,100057219936.0448175,0.0020890153684848954,,,0.00215206816813831,-1.6452924353785887,1,1049
