date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd
2015-09-30,0.00192578360813816,192578360.8138159422264917558552,1,99999999999.99997,0.0019257836081381602
2015-10-01,0.00215206816813831,215329958.016780954450623779587625,1,100057219936.0471375,0.0021520681681383097
2015-10-02,0.00208897928928483,209017460.189815661879384116800525,0.99998273,100057219936.0452175,0.002089015366580211
2015-10-03,0.00205693400244302,205811097.87637102286130218725685,0.98464283,100057219936.0452175,0.0020890153665598927
2015-10-04,0.00203349869238165,203466225.903291111427697167258875,0.97342448,100057219936.0452175,0.002089015361912462
2015-10-05,0.00203669684587697,203786224.250961576426902361890975,0.97495541,100057219936.0452175,0.0020890153795617896
2015-10-06,0.00211663857388816,211784971.3126447208910725478748,1.01322307,100057219936.0452175,0.002089015377322745
2015-10-07,0.00204567722347267,204684775.867163264285001495455725,0.97925427,100057219936.0452175,0.0020890153723533626
2015-10-08,0.00203172773157218,203289028.48807985496768284504915,0.97257673,100057219936.0452175,0.0020890153639314193
2015-10-09,0.00213368290109074,213490379.30821433280641227423995,1.0213821,100057219936.0448175,0.002089015365641066
2015-10-10,0.00211907703773799,212028957.226372409107707462366825,1.01439035,100057219936.0448175,0.0020890153753315875
2015-10-11,0.002129886377481,213110509.7104021908439387547175,1.01956472,100057219936.0448175,0.0020890153765628534
2015-10-12,0.0020424707555572,204363945.601726393061426384811,0.97771935,100057219936.0448175,0.0020890153759943486
2015-10-13,0.00211666035336374,211787150.50642207401290751941745,1.0132335,100057219936.0448175,0.0020890153684848954
2015-10-14,0.00204590529996485,204707596.566902741880030774664875,0.97936345,100057219936.0448175,0.002089015370100702
2015-10-15,0.00192162322155731,192272277.313570553284942149009925,0.91987031,100057219936.0447175,0.002089015376045032
2015-10-16,0.00191660334209003,191770002.129660483332787990916525,0.91746732,100057219936.0447175,0.002089015379959288
2015-10-17,0.00196190573083577,198751295.318020987292127030078472,0.93880988,101305221853.5256136,0.0020897795950291552
2015-10-18,0.00196098263396585,198657780.78482060339496371738006,0.9383682,101305221853.5251836,0.00208977950655814
2015-10-19,0.00194835330704851,197378364.019598777386956671856436,0.93232483,101305221853.5251836,0.002089779489245728
2015-10-20,0.00185520065127119,187941513.559832310374072018140484,0.88774947,101305221853.5251836,0.0020897795087066514
2015-10-21,0.00190308554573349,192792503.416768251379973248918764,0.91066332,101305221853.5251836,0.002089779508999539
2015-10-22,0.00195820034041788,198375919.919681870832233527722768,0.93703682,101305221853.5251836,0.0020897795034541763
2015-10-23,0.00197257846843034,199832499.367822496511768068007024,0.94391703,101305221853.5251736,0.002089779509996064
2015-10-24,0.00193626432589159,196153687.101513891883496329530024,0.92654001,101305221853.5251736,0.0020897795076238426
2015-10-25,0.00187022666671951,189463727.388398658922162443305936,0.89494355,101305221853.5250736,0.0020897705410799486
2015-10-26,0.00185058973741255,187474403.90843508775200141231368,0.88554686,101305221853.5250736,0.0020897705372842153
2015-10-27,0.00194880884160338,197424512.048741615208835656508768,0.9325468,101305221853.5250736,0.0020897705526450577
2015-10-28,0.00197673043655254,200253115.419570534157206833766944,0.94590789,101305221853.5250736,0.002089770534161143
2015-10-29,0.00199821310566625,202429421.980140796573520608286,0.9561878,101305221853.5250736,0.002089770551000808
2015-10-30,0.00211672119452871,214434910.213789549578495174775956,1.01289646,101305221853.5250636,0.0020897705521931726
2015-10-31,0.0021465645743146,217458200.42385814133997589140856,1.02717716,101305221853.5250636,0.0020897705458273624
