date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd
2010-07-18,0.08584,295959.152,146.0383322,3447800,0.0005877908813861405
2010-07-19,0.0808,279285.2,62.56512971,3456500,0.0012914542073919086
2010-07-20,0.0747357288135593,259000.404989830432115,45.10663005,3465550,0.0016568679311825313
2010-07-21,0.0791928626534191,275266.47129701944969,38.35756046,3475900,0.0020645959154780695
2010-07-22,0.0584697603740503,203749.57397545308041,25.1323482,3484700,0.002326474227905624
2010-07-23,0.0605928696668615,211735.7237638808256,23.1909876,3494400,0.0026127765971838777
2010-07-24,0.05454,191099.979,17.07191365,3503850,0.003194720938621899
2010-07-25,0.050540618351841,177670.4897540618514,14.29480012,3515400,0.00353559461675362
2010-07-26,0.056,197542.8,12.57111018,3527550,0.004454658275853247
2010-07-27,0.058622016364699,207278.65656312095915,12.41061061,3535850,0.00472354005833231
2010-07-28,0.0589110987726476,208769.15183050856488,11.86773641,3543800,0.004963970949254308
2010-07-29,0.0699,248340.72,13.54121185,3552800,0.005162019527816486
2010-07-30,0.064657381648159,230303.1276925775421,12.03290217,3561900,0.005373382142951387
2010-07-31,0.0675457989479836,241276.97113214481838,12.05286591,3572050,0.005604127636725995
2010-08-01,0.0611,218982.4,10.44892297,3584000,0.00584749262440012
2010-08-02,0.06,215766,9.9762043,3596100,0.00601431147515694
2010-08-03,0.0600121507890123,216490.833363822421635,9.60461264,3607450,0.006248263520704809
2010-08-04,0.0570157802454705,206374.3181765050218,8.82883787,3619600,0.006457903190091143
2010-08-05,0.061,221460.5,9.19506028,3630500,0.0066339967485237634
2010-08-06,0.0616713150204559,224350.993347165495815,9.02581206,3637850,0.0068327719002444975
2010-08-07,0.0590039450613676,215104.78211572172256,8.42875731,3645600,0.0070003136751089585
2010-08-08,0.0609,222622.995,8.47702357,3655550,0.007184125359226765
2010-08-09,0.0704,258019.52,9.28085443,3665050,0.007585508482110736
2010-08-10,0.0693387288135593,254792.09289830500378,8.88387323,3674600,0.007805011059749138
2010-08-11,0.067,246978.75,8.33793184,3686250,0.008035565807647572
2010-08-12,0.07,258797,8.49787609,3697100,0.008237352399427607
2010-08-13,0.0645,239156.325,7.56762836,3707850,0.008523145816848756
2010-08-14,0.0669964336645237,249354.02645599075903,7.65189676,3721900,0.008755532878428916
2010-08-15,0.0651179322033898,243036.40246610158105,7.26649664,3732250,0.008961393010895248
2010-08-16,0.0655,244943.8,7.13837504,3739600,0.00917575773659547
2010-08-17,0.07,262223.5,7.50985867,3746050,0.009321080871952015
2010-08-18,0.068,255183.6,7.14796434,3752700,0.009513197991136034
2010-08-19,0.0667,250755.315,6.93168437,3759450,0.00962248083433724
2010-08-20,0.0655,246876.05,6.69412905,3769100,0.009784693350063217
2010-08-21,0.0664,250842.6,6.61775626,3777750,0.010033612208014442
2010-08-22,0.0659289888953828,249762.08508182343038,6.41568722,3788350,0.01027621619237585
2010-08-23,0.06491,246593.09,6.22495622,3799000,0.01042738257201751
2010-08-24,0.065,247633.75,6.13247009,3809750,0.010599317900627542
2010-08-25,0.0648,247571.64,6.02386076,3820550,0.010757220756211503
2010-08-26,0.0640751139684395,245474.965368790146475,5.87469011,3831050,0.010906977690511662
2010-08-27,0.065,249574,5.87209239,3839600,0.011069308124424793
2010-08-28,0.0646,248587.26,5.77497614,3848100,0.011186193403043223
2010-08-29,0.064,246796.8,5.66272908,3856200,0.0113019710277222
2010-08-30,0.06497,251021.3405,5.69050244,3863650,0.011417269509157788
2010-08-31,0.06,232371,5.19159819,3872850,0.011557134778953301
2010-09-01,0.0620248275862069,240699.74841379311683,5.31891315,3880700,0.011661184500861213
2010-09-02,0.0634,246530.9,5.38522542,3888500,0.011772951929652
2010-09-03,0.06085,237114.195,5.12179597,3896700,0.0118805982035243
2010-09-04,0.062178275862069,242852.80094827599675,5.18235949,3905750,0.011998063040985411
2010-09-05,0.06165,241298.1,5.06897347,3914000,0.012162225816502448
2010-09-06,0.0616,241589.04,5.03207272,3921900,0.012241476510299717
2010-09-07,0.0612391180596142,240663.61006247784458,4.94816313,3929900,0.012376131596860712
2010-09-08,0.061,240227.15,4.88836125,3938150,0.012478619496462132
2010-09-09,0.0611149707773232,241092.44821946229168,4.79545778,3944900,0.012744345499653885
2010-09-10,0.0610115242548218,241224.31402250169175,4.74669508,3953750,0.01285347451785797
2010-09-11,0.0636208649912332,252049.9618790181301,4.91061134,3961750,0.012955793196867665
2010-09-12,0.0615,244191.9,4.69699949,3970600,0.013093465334823785
2010-09-13,0.06218,247423.547,4.70641545,3979150,0.013211753331295904
2010-09-14,0.06199,247296.707,4.64512859,3989300,0.013345163389760972
