date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd
2014-08-15,0.00559861504288459,559861022.18772887353311658789319,131.685470705039,99999913889.287541,4.251505509992726e-05
2014-08-16,0.00558265522793688,558265042.03571293955299884833832,127.223756092057,99999913883.635039,4.388060374429885e-05
2014-08-17,0.00839782671499241,839781948.25919678719329344485559,146.629366908444,99999913877.712799,5.727247475763874e-05
2014-08-18,0.00468471940677966,468471537.1840003170793880133603,84.315647055756,99999913870.195705,5.556168481612627e-05
2014-08-19,0.00482831433372297,482831017.48131370912810358160267,82.881754518672,99999913864.145011,5.8255455157325665e-05
2014-08-20,0.00503705290181181,503704855.7759073271546912730058,79.398674107365,99999913758.04818,6.344001280173235e-05
2014-08-21,0.00621273850730567,621273314.79005064470826160681024,88.196440744005,99999913735.220672,7.044205474616015e-05
2014-08-22,0.00621881306434833,621880769.92449203984880078965922,83.094199813882,99999913727.855234,7.484051929349458e-05
2014-08-23,0.00581637138611923,581636636.56860120458994825026121,78.285351464445,99999913684.445427,7.429705912172933e-05
2014-08-24,0.00566506130075979,566505640.38577339468257341959032,75.169569331831,99999913559.592808,7.536375891355395e-05
2014-08-25,0.00480592160508475,480591745.0049878027752115670855,61.670253877944,99999913543.432178,7.792933063963856e-05
2014-08-26,0.0057471425537962,574713758.1009550472000484873938,68.262589628226,99999913473.754949,8.419168661922263e-05
2014-08-27,0.00453462253886616,453461861.42781198185700352035288,57.085950672959,99999913452.817593,7.943500082611678e-05
2014-08-28,0.00446214455118352,446214068.78355012496753849373568,57.980452051856,99999913419.478584,7.695946466910452e-05
2014-08-29,0.0050982943934775,509828997.8918495180463203772375,62.713520804579,99999913411.061345,8.129497958445431e-05
2014-08-30,0.00523472991296318,523472537.94465886884993446032602,63.774576989328,99999913395.405939,8.20817661219322e-05
2014-08-31,0.00473726311227352,473725900.92646180442639088511872,58.2724864081,99999913388.621136,8.129502281912292e-05
2014-09-01,0.00443150750499485,443150366.64762619622246323096755,54.547407889357,99999913381.200783,8.124139489787749e-05
2014-09-02,0.00444991679263589,444991293.70471210230967506156562,55.172249129116,99999913355.935658,8.065498258412561e-05
2014-09-03,0.00445618000458796,445617612.6301817477852578013838,54.303149053894,99999912968.368905,8.206117107804107e-05
2014-09-04,0.00489040152648778,489039727.01024267545572578367306,54.712113626484,99999912964.501377,8.938425519208105e-05
2014-09-05,0.0049886311962595,498862685.417500327696008354537,55.200838230064,99999912960.402846,9.037238122124284e-05
2014-09-06,0.00501074943728814,501074507.5255995183087303405627,51.844536150531,99999912946.512305,9.664951814284521e-05
2014-09-07,0.0049846541889889,498464984.9514212976080388985797,51.357844051143,99999912943.315173,9.705730996077442e-05
2014-09-08,0.00476941526884862,476941111.647325128102481507598,49.43194564408,99999912937.4329,9.648447389041437e-05
2014-09-09,0.00461042120237288,461041718.32404981692892364467808,47.446207693832,99999912825.049916,9.717154281589157e-05
2014-09-10,0.00500093174817961,500092737.45745062815860759877963,50.784585676245,99999912544.195283,9.847341829390657e-05
2014-09-11,0.00468335180946815,468334770.17294876528866611887795,18.916343853994,99999912290.623693,0.00024758229421164316
2014-09-12,0.00428754814642899,428754438.34131284582661478367028,17.318960297823,99999912233.851772,0.0002475638302010506
2014-09-13,0.00435991193821157,435990811.05588378463365537474053,17.855382307918,99999912208.026529,0.00024417914234623584
2014-09-14,0.00487950890302162,487950460.26320549016615553352878,19.673488882336,99999911868.393919,0.000248024584363515
2014-09-15,0.004907103644753,490709931.645497791760676223846,19.762962225358,99999911795.259782,0.0002482979822962299
2014-09-16,0.00491637335905903,491636901.71789838878336617241453,19.623540244551,99999911685.306851,0.0002505344753184478
2014-09-17,0.00541341361703682,541340876.64241015390789949752434,20.564931045465,99999910396.414137,0.0002632351941792964
2014-09-18,0.00550793241103448,550792743.43817142043352701043224,20.826547677417,99999909645.718313,0.0002644668956346968
2014-09-19,0.00449665021762127,449664610.67485222574018460575127,16.999378975781,99999908579.219001,0.00026451849941269294
2014-09-20,0.0052349963943045,523499160.470446717745129943555,19.566959896599,99999908508.05479,0.00026754265465706874
2014-09-21,0.00490615133205832,490614682.45349739453836842431632,18.327655258981,99999908125.065026,0.0002676911619479631
2014-09-22,0.00489734116983051,489733665.33497217904486824541128,18.281284642012,99999907776.880728,0.00026788824011721743
2014-09-23,0.00465552393206897,465551963.68948484539023728807688,17.402159596189,99999907740.263304,0.0002675256427994437
2014-09-24,0.00503402858336336,503402393.84489145896974367778384,18.899135792636,99999907729.676769,0.0002663628982085444
2014-09-25,0.00498541207610462,498540747.52534858673306341859208,18.538003345353,99999907713.724284,0.0002689292899148351
2014-09-26,0.005339566815553,533956182.565968584231826258291,19.456410818396,99999906548.724147,0.0002744374008850825
2014-09-27,0.00455311350557591,455310888.2174623483217602326636,16.741270408694,99999898456.26996,0.00027196941417369425
2014-09-28,0.00532529885496786,532529332.17581411335932100253142,19.359286165247,99999896095.789747,0.0002750772321619802
2014-09-29,0.00490258791232841,490258268.3797823916189246474841,17.928743095332,99999893351.62001,0.0002734485003360256
2014-09-30,0.00471071784902981,471071278.31561176556545487976319,17.11813715843,99999892460.685299,0.0002751886963769285
2014-10-01,0.00502406208099941,502405666.88320901788576834622918,18.019782792487,99999892275.070798,0.00027880813763715814
2014-10-02,0.00499556962367621,499556422.71062191466889215302904,17.895701511646,99999891972.880024,0.00027914913647979873
2014-10-03,0.00504794627589463,504794080.24953862657566410088488,18.031921695654,99999891571.761176,0.0002799449976045133
